Season	Oblast	POP_R	POP_V	POP_A	POP_P	POP_C	POP_E	POP_O	POP_S	XSUM
P00202203	P01	5659	114	2687	1161	0	128	181	1826	11756
P00202203	P02	10093	107	1602	234	0	76	69	2620	14802
P00202203	P03	14526	156	1034	155	0	50	0	3785	19706
P00202203	P04	17536	211	1333	272	0	123	0	5236	24715
P00202203	P05	8193	44	265	28	0	75	1	2815	11424
P00202203	P05.1	1325	63	549	47	0	0	0	158	2142
P00202203	P05.2	1068	44	141	16	0	0	0	130	1399
P00202203	P05.3	208	13	62	5	0	0	0	32	320
P00202203	P05.4	844	34	170	29	0	0	0	119	1196
P00202203	P05.5	340	10	20	0	0	0	0	85	455
P00202203	P05.6	2016	60	132	13	0	0	0	312	2533
P00202203	P06	21043	238	1547	170	0	108	1	6894	30006
P00202203	P07	9304	98	756	94	0	30	0	2220	12503
P00202203	P08	5000	13	105	30	0	75	9	2329	7562
P00202203	P08.1	1128	23	363	31	0	0	0	125	1670
P00202203	P08.2	1094	32	129	26	0	0	1	183	1465
P00202203	P08.3	4064	64	219	21	0	0	0	1426	5794
P00202203	P09	4201	32	202	43	0	15	167	1272	5932
P00202203	P09.1	1655	54	213	28	0	0	0	209	2159
P00202203	P09.2	3432	83	192	37	0	0	0	1040	4784
P00202203	P10	13691	74	459	60	0	16	9	4669	18978
P00202203	P10.1	3571	225	718	73	0	0	0	459	5046
P00202203	P10.2	1056	49	127	30	0	0	0	195	1457
P00202203	P10.3	1678	123	312	46	0	0	0	314	2473
P00202203	P10.4	1518	82	215	39	0	0	0	302	2156
P00202203	P18	516	1	7	4	0	2	13	175	718
P00202203	P18.1	2830	60	148	32	0	0	37	666	3773
P00202203	P18.2	58	1	3	1	0	0	0	2	65
P00202203	P18.3	50	1	3	0	0	0	0	1	55