MC,CELKEM_PS,PS_ZPS,RES_PS,MIX_PS,VIS_PS,OTH_PS,RES_PS_ZPS,MIX_PS_ZPS,VIS_PS_ZPS,OTH_PS_ZPS,POCINVST,PA_cnt,IB_cnt,date
P06,25924,24869,17054,8865,5,0,16534,8330,5,0,267,200,0,2020-05-01
P07,9753,9335,6936,2253,564,0,6591,2197,547,0,97,94,0,2020-05-01
P08,15008,14446,9854,5045,109,0,9556,4796,94,0,175,97,0,2020-05-01
P09,3810,3662,0,3810,0,0,0,3662,0,0,47,65,0,2020-05-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2020-05-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2020-05-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2020-05-01
P01,8622,8024,6525,2097,0,0,6080,1944,0,0,187,89,0,2020-06-01
P02,12020,11393,8264,3756,0,0,7876,3517,0,0,118,113,0,2020-06-01
P03,14958,14366,10498,4460,0,0,10071,4295,0,0,176,123,0,2020-06-01
P04,22633,21791,13334,9097,202,0,12856,8743,192,0,228,185,0,2020-06-01
P05,12750,12163,7391,5257,102,0,7165,4910,88,0,198,117,0,2020-06-01
P06,25923,24874,17030,8888,5,0,16521,8348,5,0,267,201,0,2020-06-01
P07,9763,9347,6939,2253,569,2,6601,2196,550,0,97,94,0,2020-06-01
P08,15008,14446,9854,5045,109,0,9555,4797,94,0,175,97,0,2020-06-01
P09,3809,3661,0,3809,0,0,0,3661,0,0,47,65,0,2020-06-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2020-06-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2020-06-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2020-06-01
P01,8616,8018,6523,2093,0,0,6079,1939,0,0,189,89,0,2020-07-01
P02,12021,11392,8271,3750,0,0,7881,3511,0,0,118,113,0,2020-07-01
P03,14958,14370,10498,4460,0,0,10073,4297,0,0,176,123,0,2020-07-01
P04,22632,21792,13333,9097,202,0,12855,8745,192,0,228,185,0,2020-07-01
P05,12749,12161,7390,5257,102,0,7163,4910,88,0,198,117,0,2020-07-01
P06,25925,24883,17032,8888,5,0,16526,8352,5,0,267,201,0,2020-07-01
P07,9770,9353,6945,2254,569,2,6606,2197,550,0,97,94,0,2020-07-01
P08,15008,14448,9854,5045,109,0,9557,4797,94,0,175,98,0,2020-07-01
P09,3809,3661,0,3809,0,0,0,3661,0,0,47,65,0,2020-07-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2020-07-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2020-07-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2020-07-01
P01,8596,7995,6517,2079,0,0,6075,1920,0,0,191,89,0,2020-08-01
P02,11993,11363,8253,3740,0,0,7864,3499,0,0,118,113,0,2020-08-01
P03,14994,14405,11568,3426,0,0,11110,3295,0,0,176,102,10,2020-08-01
P04,22630,21795,13331,9097,202,0,12856,8747,192,0,227,185,0,2020-08-01
P05,12746,12158,7387,5257,102,0,7160,4910,88,0,198,116,0,2020-08-01
P06,25895,24859,17088,8802,5,0,16579,8275,5,0,267,190,10,2020-08-01
P07,9713,9295,6948,2194,569,2,6607,2138,550,0,98,94,0,2020-08-01
P08,15001,14430,9854,5038,109,0,9552,4784,94,0,178,98,0,2020-08-01
P09,3809,3656,0,3809,0,0,0,3656,0,0,47,65,0,2020-08-01
P10,9286,8938,5435,3817,34,0,5256,3648,34,0,63,50,0,2020-08-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2020-08-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2020-08-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2020-08-01
P01,8567,7968,6514,2053,0,0,6075,1893,0,0,188,89,0,2020-09-01
P02,11989,11356,8249,3740,0,0,7855,3501,0,0,119,113,0,2020-09-01
P03,14987,14398,11568,3419,0,0,11109,3289,0,0,175,102,10,2020-09-01
P04,22628,21791,13329,9097,202,0,12853,8746,192,0,227,185,0,2020-09-01
P05,12719,12131,7377,5240,102,0,7150,4893,88,0,198,116,0,2020-09-01
P06,25937,24899,17087,8845,5,0,16577,8317,5,0,267,191,10,2020-09-01
P07,9714,9287,6945,2198,569,2,6597,2140,550,0,100,69,25,2020-09-01
P08,15014,14443,9865,5040,109,0,9564,4785,94,0,178,83,15,2020-09-01
P09,3809,3656,0,3809,0,0,0,3656,0,0,47,66,0,2020-09-01
P10,9286,8932,5435,3817,34,0,5254,3644,34,0,63,50,0,2020-09-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2020-09-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2020-09-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2020-09-01
P01,8569,7968,6547,2022,0,0,6105,1863,0,0,188,88,0,2020-10-01
P02,11989,11356,8249,3740,0,0,7855,3501,0,0,119,113,0,2020-10-01
P03,15001,14413,11582,3419,0,0,11124,3289,0,0,175,103,10,2020-10-01
P04,22628,21794,13329,9097,202,0,12856,8746,192,0,227,185,0,2020-10-01
P05,12719,12135,7377,5240,102,0,7151,4897,87,0,198,117,0,2020-10-01
P06,25916,24881,17088,8823,5,0,16577,8299,5,0,267,191,10,2020-10-01
P07,9714,9288,6945,2198,569,2,6598,2140,550,0,100,69,25,2020-10-01
P08,15020,14443,9865,5046,109,0,9564,4785,94,0,178,83,15,2020-10-01
P09,3809,3656,0,3809,0,0,0,3656,0,0,47,66,0,2020-10-01
P10,15626,15104,10280,5284,62,0,9966,5078,60,0,88,76,0,2020-10-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2020-10-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2020-10-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2020-10-01
P01,8571,7970,6549,2022,0,0,6107,1863,0,0,186,87,0,2020-11-01
P02,11989,11355,8249,3740,0,0,7854,3501,0,0,119,113,0,2020-11-01
P03,15075,14486,11656,3419,0,0,11197,3289,0,0,173,104,10,2020-11-01
P04,22702,21866,13387,9113,202,0,12912,8762,192,0,229,185,0,2020-11-01
P05,12739,12155,7383,5254,102,0,7157,4911,87,0,196,101,16,2020-11-01
P06,27806,26726,18866,8935,5,0,18317,8404,5,0,272,195,10,2020-11-01
P07,9714,9289,6945,2198,569,2,6599,2140,550,0,100,69,25,2020-11-01
P08,15080,14502,9920,5051,109,0,9618,4790,94,0,179,82,15,2020-11-01
P09,3808,3655,0,3808,0,0,0,3655,0,0,47,66,0,2020-11-01
P10,19737,19083,13624,6051,62,0,13215,5808,60,0,105,76,0,2020-11-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2020-11-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2020-11-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2020-11-01
P01,8576,7978,6551,2025,0,0,6112,1866,0,0,183,87,0,2020-12-01
P02,11992,11363,8285,3707,0,0,7896,3467,0,0,119,113,0,2020-12-01
P03,15077,14485,11658,3419,0,0,11196,3289,0,0,173,105,10,2020-12-01
P04,22760,21925,13446,9112,202,0,12972,8761,192,0,231,185,0,2020-12-01
P05,12761,12178,7387,5272,102,0,7161,4930,87,0,196,101,16,2020-12-01
P06,27780,26697,18849,8926,5,0,18299,8393,5,0,273,195,10,2020-12-01
P07,9711,9285,6942,2198,569,2,6595,2140,550,0,101,69,25,2020-12-01
P08,15119,14543,9921,5089,109,0,9621,4828,94,0,179,83,16,2020-12-01
P09,3808,3655,0,3808,0,0,0,3655,0,0,47,66,0,2020-12-01
P10,19735,19081,13623,6050,62,0,13213,5808,60,0,105,91,0,2020-12-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2020-12-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2020-12-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2020-12-01
P01,8576,7979,6551,2025,0,0,6113,1866,0,0,184,87,0,2021-01-01
P02,11993,11363,8286,3707,0,0,7896,3467,0,0,119,113,0,2021-01-01
P03,15077,14484,11658,3419,0,0,11195,3289,0,0,174,105,10,2021-01-01
P04,22766,21929,13452,9112,202,0,12977,8760,192,0,232,185,0,2021-01-01
P05,14119,13508,8603,5414,102,0,8357,5064,87,0,208,105,16,2021-01-01
P06,27779,26691,18848,8926,5,0,18295,8391,5,0,273,195,10,2021-01-01
P07,9702,9282,6938,2193,569,2,6597,2135,550,0,101,69,25,2021-01-01
P08,15119,14543,9921,5089,109,0,9621,4828,94,0,179,83,16,2021-01-01
P09,3808,3655,0,3808,0,0,0,3655,0,0,47,66,0,2021-01-01
P10,19740,19086,13628,6050,62,0,13218,5808,60,0,105,91,0,2021-01-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2021-01-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2021-01-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2021-01-01
P01,8576,7976,6551,2025,0,0,6113,1863,0,0,184,87,0,2021-02-01
P02,11994,11362,8287,3707,0,0,7895,3467,0,0,118,113,0,2021-02-01
P03,15077,14485,11658,3419,0,0,11196,3289,0,0,174,105,10,2021-02-01
P04,22766,21928,13452,9112,202,0,12976,8760,192,0,232,185,0,2021-02-01
P05,14389,13776,9582,4705,102,0,9281,4408,87,0,208,105,16,2021-02-01
P06,27773,26687,18844,8924,5,0,18292,8390,5,0,273,195,10,2021-02-01
P07,9702,9282,6938,2193,569,2,6597,2135,550,0,101,69,25,2021-02-01
P08,15119,14542,9921,5089,109,0,9620,4828,94,0,179,83,16,2021-02-01
P09,3808,3655,0,3808,0,0,0,3655,0,0,47,66,0,2021-02-01
P10,19740,19085,13628,6050,62,0,13217,5808,60,0,105,91,0,2021-02-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2021-02-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2021-02-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2021-02-01
P01,8577,7967,6551,2026,0,0,6105,1862,0,0,187,87,0,2021-03-01
P02,11992,11361,8285,3707,0,0,7894,3467,0,0,117,113,0,2021-03-01
P03,15089,14496,11670,3419,0,0,11207,3289,0,0,174,101,9,2021-03-01
P04,22763,21927,13450,9111,202,0,12975,8760,192,0,232,185,0,2021-03-01
P05,14389,13773,9584,4703,102,0,9283,4403,87,0,208,105,3,2021-03-01
P06,27784,26698,18855,8924,5,0,18301,8392,5,0,273,195,10,2021-03-01
P07,9711,9291,6942,2198,569,2,6599,2142,550,0,101,69,25,2021-03-01
P08,15108,14531,9912,5087,109,0,9611,4826,94,0,180,83,16,2021-03-01
P09,3808,3656,0,3808,0,0,0,3656,0,0,47,47,19,2021-03-01
P10,19740,19084,13628,6050,62,0,13217,5807,60,0,105,91,0,2021-03-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2021-03-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2021-03-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2021-03-01
P01,8578,7967,6552,2026,0,0,6105,1862,0,0,187,87,0,2021-04-01
P02,11992,11362,8285,3707,0,0,7895,3467,0,0,117,113,0,2021-04-01
P03,15089,14494,11670,3419,0,0,11206,3288,0,0,175,101,9,2021-04-01
P04,22758,21929,13445,9111,202,0,12974,8763,192,0,232,185,0,2021-04-01
P05,14389,13772,9584,4703,102,0,9282,4403,87,0,208,105,3,2021-04-01
P06,27716,26631,18827,8884,5,0,18273,8353,5,0,272,195,10,2021-04-01
P07,9711,9288,6942,2198,569,2,6597,2141,550,0,101,69,25,2021-04-01
P08,15331,14747,9912,5310,109,0,9612,5041,94,0,181,83,17,2021-04-01
P09,10658,10274,0,10658,0,0,0,10274,0,0,94,61,53,2021-04-01
P10,19739,19083,13627,6050,62,0,13216,5807,60,0,105,91,0,2021-04-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2021-04-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2021-04-01
P18,3533,3428,0,3533,0,0,0,3428,0,0,30,5,16,2021-04-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2021-04-01
P01,8581,7967,6555,2026,0,0,6105,1862,0,0,189,87,0,2021-05-01
P02,11992,11361,8285,3707,0,0,7893,3468,0,0,117,113,0,2021-05-01
P03,15088,14493,11669,3419,0,0,11205,3288,0,0,175,101,9,2021-05-01
P04,22758,21927,13445,9111,202,0,12973,8762,192,0,232,185,0,2021-05-01
P05,14412,13795,9617,4693,102,0,9312,4396,87,0,208,105,3,2021-05-01
P06,27723,26621,18827,8891,5,0,18260,8356,5,0,273,195,10,2021-05-01
P07,9721,9297,6948,2202,569,2,6605,2142,550,0,101,69,25,2021-05-01
P08,15335,14753,9914,5312,109,0,9617,5042,94,0,181,83,17,2021-05-01
P09,10648,10268,0,10648,0,0,0,10268,0,0,94,53,61,2021-05-01
P10,19740,19105,13627,6051,62,0,13229,5816,60,0,105,91,0,2021-05-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2021-05-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2021-05-01
P18,3533,3429,0,3533,0,0,0,3429,0,0,32,5,16,2021-05-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2021-05-01
P01,8579,7964,6555,2024,0,0,6104,1860,0,0,189,87,0,2021-06-01
P02,12015,11382,8308,3707,0,0,7914,3468,0,0,117,113,0,2021-06-01
P03,15087,14492,11669,3418,0,0,11204,3288,0,0,175,101,9,2021-06-01
P04,22617,21788,13440,8974,203,0,12970,8630,188,0,230,185,0,2021-06-01
P05,14412,13795,9617,4693,102,0,9312,4396,87,0,208,105,3,2021-06-01
P06,27725,26630,18829,8891,5,0,18265,8360,5,0,274,195,10,2021-06-01
P07,9721,9298,6948,2202,569,2,6606,2142,550,0,101,69,25,2021-06-01
P08,15333,14752,9912,5312,109,0,9615,5043,94,0,181,83,17,2021-06-01
P09,10631,10251,0,10631,0,0,0,10251,0,0,94,53,61,2021-06-01
P10,19740,19103,13627,6051,62,0,13228,5815,60,0,105,71,20,2021-06-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2021-06-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2021-06-01
P18,3533,3429,0,3533,0,0,0,3429,0,0,32,5,16,2021-06-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2021-06-01
P01,8579,7952,6555,2024,0,0,6095,1857,0,0,188,87,0,2021-07-01
P02,12015,11380,8308,3707,0,0,7913,3467,0,0,118,113,0,2021-07-01
P03,15083,14489,11676,3407,0,0,11211,3278,0,0,175,102,9,2021-07-01
P04,22591,21758,13440,8948,203,0,12970,8600,188,0,234,184,0,2021-07-01
P05,14407,13790,9593,4712,102,0,9288,4415,87,0,208,105,3,2021-07-01
P06,27718,26637,18825,8888,5,0,18271,8361,5,0,274,195,10,2021-07-01
P07,9720,9297,6947,2202,569,2,6605,2142,550,0,101,69,25,2021-07-01
P08,15334,14754,9913,5312,109,0,9618,5042,94,0,181,83,17,2021-07-01
P09,10627,10247,0,10627,0,0,0,10247,0,0,94,53,61,2021-07-01
P10,25497,24751,18202,7169,126,0,17714,6933,104,0,137,91,21,2021-07-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2021-07-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2021-07-01
P18,3505,3401,0,3505,0,0,0,3401,0,0,31,5,16,2021-07-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2021-07-01
P01,8586,7960,6562,2024,0,0,6102,1858,0,0,188,87,0,2021-08-01
P02,12015,11379,8308,3707,0,0,7913,3466,0,0,118,113,0,2021-08-01
P03,15079,14484,11671,3408,0,0,11205,3279,0,0,175,102,10,2021-08-01
P04,22587,21756,13436,8948,203,0,12966,8602,188,0,232,183,0,2021-08-01
P05,14405,13787,9591,4712,102,0,9285,4415,87,0,208,105,3,2021-08-01
P06,27720,26638,18827,8888,5,0,18273,8360,5,0,273,195,10,2021-08-01
P07,9690,9273,6935,2195,558,2,6599,2135,539,0,99,68,25,2021-08-01
P08,15334,14753,9913,5312,109,0,9618,5041,94,0,181,83,17,2021-08-01
P09,10618,10237,0,10618,0,0,0,10237,0,0,95,53,61,2021-08-01
P10,25486,24739,18192,7168,126,0,17703,6932,104,0,137,91,21,2021-08-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2021-08-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2021-08-01
P18,3504,3400,0,3504,0,0,0,3400,0,0,31,6,15,2021-08-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2021-08-01
P01,8576,7947,6554,2022,0,0,6094,1853,0,0,188,87,0,2021-09-01
P02,11986,11347,8308,3678,0,0,7914,3433,0,0,121,113,0,2021-09-01
P03,15116,14518,11681,3435,0,0,11214,3304,0,0,177,102,10,2021-09-01
P04,22614,21781,13435,8976,203,0,12966,8627,188,0,231,183,0,2021-09-01
P05,14404,13785,9590,4712,102,0,9284,4414,87,0,208,105,3,2021-09-01
P06,27720,26636,18827,8888,5,0,18271,8360,5,0,273,195,10,2021-09-01
P07,9688,9266,6935,2193,558,2,6595,2133,538,0,99,68,25,2021-09-01
P08,15339,14760,9913,5317,109,0,9618,5048,94,0,181,83,17,2021-09-01
P09,10622,10242,0,10622,0,0,0,10242,0,0,95,53,61,2021-09-01
P10,25468,24717,18185,7157,126,0,17693,6920,104,0,138,91,21,2021-09-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2021-09-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2021-09-01
P18,3611,3506,0,3611,0,0,0,3506,0,0,31,6,15,2021-09-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2021-09-01
P01,8577,7941,6555,2022,0,0,6088,1853,0,0,188,87,0,2021-10-01
P02,11981,11345,8303,3678,0,0,7912,3433,0,0,120,113,0,2021-10-01
P03,15100,14502,11675,3425,0,0,11208,3294,0,0,177,102,10,2021-10-01
P04,22624,21791,13434,8987,203,0,12967,8636,188,0,231,183,0,2021-10-01
P05,14404,13785,9590,4712,102,0,9284,4414,87,0,208,105,3,2021-10-01
P06,27726,26639,18833,8888,5,0,18274,8360,5,0,273,195,10,2021-10-01
P07,9685,9264,6932,2193,558,2,6593,2133,538,0,99,68,25,2021-10-01
P08,15339,14759,9913,5317,109,0,9617,5048,94,0,181,83,17,2021-10-01
P09,10613,10234,0,10613,0,0,0,10234,0,0,93,53,61,2021-10-01
P10,25477,24725,18194,7157,126,0,17700,6921,104,0,138,91,21,2021-10-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2021-10-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2021-10-01
P18,3611,3507,0,3611,0,0,0,3507,0,0,31,6,15,2021-10-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2021-10-01
P01,8576,7940,6554,2022,0,0,6087,1853,0,0,188,87,0,2021-11-01
P02,11980,11342,8302,3678,0,0,7912,3430,0,0,120,113,0,2021-11-01
P03,15079,14482,11670,3409,0,0,11204,3278,0,0,176,103,11,2021-11-01
P04,22605,21775,13423,8979,203,0,12959,8628,188,0,231,183,0,2021-11-01
P05,14404,13785,9590,4712,102,0,9284,4414,87,0,208,105,3,2021-11-01
P06,28412,27312,19456,8946,5,5,18890,8417,5,0,276,197,11,2021-11-01
P07,9685,9262,6932,2193,558,2,6592,2132,538,0,99,68,25,2021-11-01
P08,15339,14756,9913,5317,109,0,9618,5044,94,0,181,85,17,2021-11-01
P09,10641,10265,0,10641,0,0,0,10265,0,0,93,53,61,2021-11-01
P10,25477,24726,18194,7157,126,0,17701,6921,104,0,138,91,21,2021-11-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2021-11-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2021-11-01
P18,3611,3507,0,3611,0,0,0,3507,0,0,31,6,15,2021-11-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2021-11-01
P01,8578,7934,6553,2025,0,0,6086,1848,0,0,188,87,0,2021-12-01
P02,11960,11328,8282,3678,0,0,7898,3430,0,0,119,113,0,2021-12-01
P03,15069,14473,11660,3409,0,0,11195,3278,0,0,176,103,11,2021-12-01
P04,22600,21769,13418,8979,203,0,12953,8628,188,0,231,183,0,2021-12-01
P05,14404,13789,9590,4712,102,0,9284,4418,87,0,208,105,3,2021-12-01
P06,28412,27312,19456,8946,5,5,18890,8417,5,0,276,197,11,2021-12-01
P07,9685,9261,6932,2193,558,2,6592,2131,538,0,99,68,25,2021-12-01
P08,15340,14754,9913,5317,110,0,9619,5044,91,0,181,85,17,2021-12-01
P09,10642,10265,0,10642,0,0,0,10265,0,0,93,53,61,2021-12-01
P10,25475,24724,18192,7157,126,0,17699,6921,104,0,138,91,21,2021-12-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2021-12-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2021-12-01
P18,3611,3507,0,3611,0,0,0,3507,0,0,31,6,15,2021-12-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2021-12-01
P01,8532,7889,6552,1980,0,0,6086,1803,0,0,188,87,0,2022-01-01
P02,11956,11324,8278,3678,0,0,7894,3430,0,0,119,113,0,2022-01-01
P03,15058,14468,11649,3409,0,0,11189,3279,0,0,176,103,11,2022-01-01
P04,22599,21773,13418,8978,203,0,12955,8630,188,0,230,184,0,2022-01-01
P05,14404,13788,9590,4712,102,0,9283,4418,87,0,208,96,12,2022-01-01
P06,28412,27308,19456,8946,5,5,18887,8416,5,0,276,197,11,2022-01-01
P07,9688,9261,6934,2194,558,2,6592,2131,538,0,99,68,25,2022-01-01
P08,15340,14753,9913,5317,110,0,9618,5044,91,0,181,85,17,2022-01-01
P09,10640,10259,0,10640,0,0,0,10259,0,0,93,53,61,2022-01-01
P10,25476,24731,18192,7158,126,0,17711,6916,104,0,138,91,21,2022-01-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2022-01-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2022-01-01
P18,3611,3507,0,3611,0,0,0,3507,0,0,31,6,15,2022-01-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2022-01-01
P01,8530,7882,6550,1980,0,0,6079,1803,0,0,189,87,0,2022-02-01
P02,11957,11327,8278,3679,0,0,7898,3429,0,0,119,113,0,2022-02-01
P03,15055,14464,11646,3409,0,0,11185,3279,0,0,174,103,11,2022-02-01
P04,22598,21774,13417,8978,203,0,12956,8630,188,0,230,184,0,2022-02-01
P05,20174,19399,10523,9506,145,0,10209,9074,116,0,226,104,35,2022-02-01
P06,28412,27308,19446,8956,5,5,18878,8425,5,0,276,197,11,2022-02-01
P07,9694,9254,6933,2198,558,5,6592,2126,536,0,99,68,25,2022-02-01
P08,15342,14758,9913,5319,110,0,9621,5046,91,0,181,85,17,2022-02-01
P09,10642,10258,0,10642,0,0,0,10258,0,0,93,53,61,2022-02-01
P10,25435,24694,18191,7118,126,0,17714,6876,104,0,140,91,21,2022-02-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2022-02-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2022-02-01
P18,3611,3507,0,3611,0,0,0,3507,0,0,31,6,15,2022-02-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2022-02-01
P01,8547,7896,6567,1980,0,0,6093,1803,0,0,189,87,0,2022-03-01
P02,11956,11329,8279,3677,0,0,7902,3427,0,0,119,113,0,2022-03-01
P03,15012,14413,11663,3349,0,0,11196,3217,0,0,175,103,11,2022-03-01
P04,22598,21773,13417,8978,203,0,12954,8631,188,0,230,184,0,2022-03-01
P05,20177,19404,10526,9506,145,0,10214,9074,116,0,226,104,35,2022-03-01
P06,28401,27296,19436,8955,5,5,18867,8424,5,0,275,197,11,2022-03-01
P07,9683,9240,6931,2195,552,5,6587,2123,530,0,99,68,25,2022-03-01
P08,15349,14766,9913,5326,110,0,9622,5053,91,0,181,85,17,2022-03-01
P09,10652,10268,0,10652,0,0,0,10268,0,0,93,53,60,2022-03-01
P10,25450,24714,18191,7133,126,0,17718,6892,104,0,140,91,21,2022-03-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2022-03-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2022-03-01
P18,3611,3506,0,3611,0,0,0,3506,0,0,31,6,15,2022-03-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2022-03-01
P01,8534,7887,6553,1981,0,0,6083,1804,0,0,191,87,0,2022-04-01
P02,11964,11337,8287,3677,0,0,7910,3427,0,0,119,113,0,2022-04-01
P03,15012,14414,11663,3349,0,0,11197,3217,0,0,174,103,11,2022-04-01
P04,22550,21727,13414,8933,203,0,12952,8587,188,0,230,185,0,2022-04-01
P05,20405,19629,10533,9727,145,0,10220,9293,116,0,226,103,35,2022-04-01
