MC,CELKEM_PS,PS_ZPS,RES_PS,MIX_PS,VIS_PS,OTH_PS,RES_PS_ZPS,MIX_PS_ZPS,VIS_PS_ZPS,OTH_PS_ZPS,POCINVST,PA_cnt,IB_cnt,date
P06,28402,27291,19412,8980,5,5,18838,8448,5,0,274,197,11,2022-04-01
P07,9681,9239,6929,2195,552,5,6586,2123,530,0,99,67,25,2022-04-01
P08,15349,14769,9913,5326,110,0,9623,5055,91,0,181,85,17,2022-04-01
P09,10639,10261,0,10639,0,0,0,10261,0,0,93,53,60,2022-04-01
P10,25475,24737,18190,7159,126,0,17716,6917,104,0,141,91,21,2022-04-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2022-04-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2022-04-01
P18,3606,3501,0,3606,0,0,0,3501,0,0,31,6,15,2022-04-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2022-04-01
P01,8515,7865,6562,1953,0,0,6090,1775,0,0,192,86,0,2022-05-01
P02,11964,11337,8287,3677,0,0,7911,3426,0,0,119,113,0,2022-05-01
P03,15012,14415,11663,3349,0,0,11198,3217,0,0,174,103,11,2022-05-01
P04,22549,21726,13412,8934,203,0,12951,8587,188,0,230,185,0,2022-05-01
P05,20404,19628,10532,9727,145,0,10219,9293,116,0,226,103,35,2022-05-01
P06,28402,27287,19412,8980,5,5,18835,8447,5,0,274,197,11,2022-05-01
P07,9681,9239,6929,2195,552,5,6586,2123,530,0,101,67,25,2022-05-01
P08,15349,14767,9913,5326,110,0,9621,5055,91,0,181,85,17,2022-05-01
P09,10637,10259,0,10637,0,0,0,10259,0,0,93,53,60,2022-05-01
P10,25472,24732,18188,7158,126,0,17714,6914,104,0,143,91,21,2022-05-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2022-05-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2022-05-01
P18,3603,3498,0,3603,0,0,0,3498,0,0,31,6,15,2022-05-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2022-05-01
P01,9103,7855,6982,2027,0,94,6080,1775,0,0,213,86,0,2022-06-01
P02,12135,11331,8332,3739,0,64,7910,3421,0,0,131,113,0,2022-06-01
P03,15111,14419,11747,3364,0,0,11200,3219,0,0,183,103,11,2022-06-01
P04,22788,21741,13511,9042,225,10,12966,8587,188,0,257,185,0,2022-06-01
P05,20535,19623,10550,9804,166,15,10219,9288,116,0,241,103,35,2022-06-01
P06,28617,27279,19534,9025,5,53,18846,8428,5,0,303,196,11,2022-06-01
P07,9775,9236,6981,2205,579,10,6584,2122,530,0,102,67,25,2022-06-01
P08,15544,14758,9983,5364,113,84,9622,5045,91,0,200,85,17,2022-06-01
P09,10709,10258,0,10706,0,3,0,10258,0,0,97,53,60,2022-06-01
P10,25598,24719,18201,7193,140,64,17707,6908,104,0,158,91,21,2022-06-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2022-06-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2022-06-01
P18,3619,3488,0,3619,0,0,0,3488,0,0,31,6,15,2022-06-01
P22,131,120,0,0,131,0,0,0,120,0,5,3,0,2022-06-01
P01,9115,7857,6988,2026,2,99,6084,1771,2,0,212,85,0,2022-07-01
P02,12115,11331,8332,3737,0,46,7910,3421,0,0,131,113,0,2022-07-01
P03,15125,14433,11761,3364,0,0,11214,3219,0,0,183,103,11,2022-07-01
P04,22786,21739,13509,9042,225,10,12964,8587,188,0,257,185,0,2022-07-01
P05,20587,19676,10554,9852,166,15,10223,9337,116,0,241,104,35,2022-07-01
P06,28615,27276,19531,9026,5,53,18843,8428,5,0,303,194,11,2022-07-01
P07,9769,9229,6979,2197,583,10,6582,2113,534,0,102,68,25,2022-07-01
P08,15575,14783,10009,5369,113,84,9648,5044,91,0,200,85,17,2022-07-01
P09,10709,10258,0,10706,0,3,0,10258,0,0,97,53,60,2022-07-01
P10,25605,24727,18201,7200,140,64,17708,6915,104,0,158,91,21,2022-07-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2022-07-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2022-07-01
P18,3619,3488,0,3619,0,0,0,3488,0,0,31,6,15,2022-07-01
P22,131,120,0,0,131,0,0,0,120,0,5,3,0,2022-07-01
P01,9129,7866,6989,2012,29,99,6082,1755,29,0,213,85,0,2022-08-01
P02,12234,11337,8444,3744,0,46,7908,3429,0,0,131,113,0,2022-08-01
P03,15125,14431,11761,3364,0,0,11214,3217,0,0,183,103,11,2022-08-01
P04,22839,21790,13562,9042,225,10,13016,8586,188,0,257,185,0,2022-08-01
P05,20560,19645,10536,9840,169,15,10203,9323,119,0,241,104,35,2022-08-01
P06,28619,27271,19536,9025,5,53,18846,8420,5,0,303,194,11,2022-08-01
P07,9792,9252,6974,2197,611,10,6580,2113,559,0,103,68,25,2022-08-01
P08,15570,14767,10002,5371,113,84,9632,5044,91,0,201,85,17,2022-08-01
P09,10709,10261,0,10706,0,3,0,10261,0,0,97,53,60,2022-08-01
P10,25613,24735,18209,7200,140,64,17717,6914,104,0,158,91,21,2022-08-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2022-08-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2022-08-01
P18,3619,3488,0,3619,0,0,0,3488,0,0,31,6,15,2022-08-01
P22,131,120,0,0,131,0,0,0,120,0,5,3,0,2022-08-01
P01,9127,7866,6991,2008,29,99,6084,1753,29,0,213,84,0,2022-09-01
P02,12235,11337,8444,3745,0,46,7907,3430,0,0,131,112,0,2022-09-01
P03,15116,14422,11753,3363,0,0,11206,3216,0,0,184,103,11,2022-09-01
P04,22836,21788,13559,9061,206,10,13014,8598,176,0,257,185,0,2022-09-01
P05,20535,19638,10510,9841,169,15,10183,9336,119,0,241,104,35,2022-09-01
P06,28583,27238,19525,9000,5,53,18832,8401,5,0,299,195,11,2022-09-01
P07,9775,9234,6965,2189,611,10,6571,2104,559,0,103,68,25,2022-09-01
P08,15570,14770,10002,5371,113,84,9635,5044,91,0,201,85,17,2022-09-01
P09,10709,10261,0,10706,0,3,0,10261,0,0,97,53,60,2022-09-01
P10,25612,24733,18208,7200,140,64,17718,6911,104,0,158,91,21,2022-09-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2022-09-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2022-09-01
P18,3619,3486,0,3619,0,0,0,3486,0,0,31,6,15,2022-09-01
P22,131,120,0,0,131,0,0,0,120,0,5,3,0,2022-09-01
P01,9216,7956,7039,2049,29,99,6128,1799,29,0,213,82,1,2022-10-01
P02,12234,11336,8444,3740,2,48,7904,3430,2,0,131,112,0,2022-10-01
P03,15119,14431,11756,3363,0,0,11212,3219,0,0,182,103,11,2022-10-01
P04,22850,21800,13572,9062,206,10,13025,8599,176,0,257,185,0,2022-10-01
P05,20511,19613,10509,9818,169,15,10182,9311,120,0,242,104,35,2022-10-01
P06,28601,27252,19535,9008,5,53,18838,8409,5,0,299,195,11,2022-10-01
P07,9778,9235,6968,2189,611,10,6572,2104,559,0,105,68,25,2022-10-01
P08,15572,14794,10005,5371,112,84,9638,5045,111,0,201,85,17,2022-10-01
P09,10735,10284,0,10732,0,3,0,10284,0,0,101,53,60,2022-10-01
P10,25625,24749,18203,7220,138,64,17717,6928,104,0,158,91,21,2022-10-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2022-10-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2022-10-01
P18,3622,3487,0,3622,0,0,0,3487,0,0,31,6,15,2022-10-01
P22,131,120,0,0,131,0,0,0,120,0,5,3,0,2022-10-01
P01,9216,7955,7039,2049,29,99,6127,1799,29,0,213,89,2,2022-11-01
P02,12233,11334,8444,3739,2,48,7904,3428,2,0,131,112,1,2022-11-01
P03,15108,14420,11745,3363,0,0,11201,3219,0,0,184,103,11,2022-11-01
P04,22870,21817,13582,9072,206,10,13035,8606,176,0,257,185,0,2022-11-01
P05,20509,19607,10507,9818,169,15,10177,9311,119,0,242,105,35,2022-11-01
P06,28594,27248,19536,9008,5,45,18835,8408,5,0,299,195,11,2022-11-01
P07,9778,9234,6968,2189,611,10,6571,2104,559,0,105,69,25,2022-11-01
P08,15569,14788,10005,5368,112,84,9636,5041,111,0,201,85,17,2022-11-01
P09,10722,10281,0,10719,0,3,0,10281,0,0,100,53,60,2022-11-01
P10,25624,24753,18202,7220,138,64,17718,6931,104,0,158,91,21,2022-11-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2022-11-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2022-11-01
P18,3622,3488,0,3622,0,0,0,3488,0,0,31,6,15,2022-11-01
P22,131,120,0,0,131,0,0,0,120,0,5,3,0,2022-11-01
P01,9217,7953,7039,2050,29,99,6126,1798,29,0,214,89,2,2022-12-01
P02,12236,11327,8447,3739,2,48,7897,3428,2,0,131,112,1,2022-12-01
P03,15100,14411,11741,3359,0,0,11196,3215,0,0,185,103,11,2022-12-01
P04,22818,21767,13659,8943,206,10,13107,8484,176,0,257,185,0,2022-12-01
P05,20328,19443,10326,9818,169,15,10004,9320,119,0,242,104,35,2022-12-01
P06,28585,27253,19530,9005,5,45,18842,8406,5,0,299,195,11,2022-12-01
P07,9778,9235,6968,2189,611,10,6572,2104,559,0,105,69,25,2022-12-01
P08,15565,14785,10005,5384,92,84,9636,5058,91,0,201,85,17,2022-12-01
P09,10711,10273,0,10708,0,3,0,10273,0,0,99,53,60,2022-12-01
P10,25630,24762,18208,7220,138,64,17727,6931,104,0,158,91,21,2022-12-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2022-12-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2022-12-01
P18,3622,3489,0,3622,0,0,0,3489,0,0,31,6,15,2022-12-01
P22,131,120,0,0,131,0,0,0,120,0,5,3,0,2022-12-01
P01,9204,7947,7036,2044,29,95,6127,1791,29,0,214,89,2,2023-01-01
P02,12235,11331,8447,3738,2,48,7897,3432,2,0,131,112,1,2023-01-01
P03,15100,14411,11741,3359,0,0,11196,3215,0,0,185,103,11,2023-01-01
P04,22915,21863,13757,8939,209,10,13204,8480,179,0,257,185,0,2023-01-01
P05,20328,19443,10326,9818,169,15,10004,9320,119,0,242,104,35,2023-01-01
P06,28587,27252,19535,9002,5,45,18845,8402,5,0,300,195,11,2023-01-01
P07,9778,9234,6968,2189,611,10,6571,2104,559,0,105,69,25,2023-01-01
P08,15555,14773,10005,5374,92,84,9636,5046,91,0,200,85,17,2023-01-01
P09,10752,10304,0,10752,0,0,0,10304,0,0,100,53,57,2023-01-01
P10,25629,24763,18210,7220,135,64,17729,6930,104,0,161,91,21,2023-01-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2023-01-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2023-01-01
P18,3622,3488,0,3622,0,0,0,3488,0,0,32,6,15,2023-01-01
P22,131,120,0,0,131,0,0,0,120,0,5,3,0,2023-01-01
P01,9205,7948,7037,2044,29,95,6128,1791,29,0,214,89,2,2023-02-01
P02,12242,11339,8447,3745,2,48,7898,3439,2,0,131,112,1,2023-02-01
P03,15100,14410,11741,3359,0,0,11195,3215,0,0,185,103,11,2023-02-01
P04,22921,21862,13761,8941,209,10,13204,8479,179,0,257,185,0,2023-02-01
P05,20345,19458,10344,9817,169,15,10021,9318,119,0,243,104,35,2023-02-01
P06,28588,27252,19536,9002,5,45,18846,8401,5,0,299,193,13,2023-02-01
P07,9739,9316,6935,2190,609,5,6654,2105,557,0,105,69,25,2023-02-01
P08,15576,14780,10015,5384,93,84,9637,5052,91,0,201,85,17,2023-02-01
P09,10750,10338,0,10750,0,0,0,10338,0,0,100,53,60,2023-02-01
P10,25627,24765,18208,7220,135,64,17730,6931,104,0,161,91,21,2023-02-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2023-02-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2023-02-01
P18,3622,3487,0,3622,0,0,0,3487,0,0,32,6,15,2023-02-01
P22,131,120,0,0,131,0,0,0,120,0,5,3,0,2023-02-01
P01,9194,7934,6864,2041,39,250,6105,1790,39,0,214,89,2,2023-03-01
P02,12238,11335,8448,3740,2,48,7899,3434,2,0,130,113,1,2023-03-01
P03,15102,14413,11743,3359,0,0,11199,3214,0,0,186,103,11,2023-03-01
P04,22956,21904,13762,8975,209,10,13205,8520,179,0,257,185,0,2023-03-01
P05,20328,19440,10342,9802,169,15,10018,9303,119,0,243,104,35,2023-03-01
P06,28579,27239,19530,8999,5,45,18841,8393,5,0,297,193,12,2023-03-01
P07,9738,9315,6933,2191,609,5,6652,2106,557,0,105,69,25,2023-03-01
P08,15561,14766,10016,5368,93,84,9640,5035,91,0,201,85,17,2023-03-01
P09,10749,10337,0,10749,0,0,0,10337,0,0,100,53,60,2023-03-01
P10,25626,24768,18207,7220,135,64,17733,6931,104,0,161,91,21,2023-03-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2023-03-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2023-03-01
P18,3622,3487,0,3622,0,0,0,3487,0,0,32,6,15,2023-03-01
P22,131,120,0,0,131,0,0,0,120,0,5,3,0,2023-03-01
P01,9205,7937,6857,2057,39,252,6094,1804,39,0,214,89,4,2023-04-01
P02,12235,11330,8446,3739,2,48,7896,3432,2,0,130,113,1,2023-04-01
P03,15103,14416,11743,3360,0,0,11201,3215,0,0,186,103,11,2023-04-01
P04,22955,21905,13758,8978,209,10,13203,8523,179,0,257,185,0,2023-04-01
P05,20305,19417,10342,9779,169,15,10018,9280,119,0,243,104,35,2023-04-01
P06,28869,27460,19545,9274,5,45,18833,8622,5,0,301,198,13,2023-04-01
P07,9738,9308,6933,2191,609,5,6654,2097,557,0,105,69,25,2023-04-01
P08,15561,14765,10016,5368,93,84,9639,5035,91,0,201,85,17,2023-04-01
P09,10729,10318,0,10729,0,0,0,10318,0,0,100,53,60,2023-04-01
P10,25626,24768,18207,7220,135,64,17733,6931,104,0,161,91,21,2023-04-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2023-04-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2023-04-01
P18,3622,3487,0,3622,0,0,0,3487,0,0,32,6,15,2023-04-01
P22,131,120,0,0,131,0,0,0,120,0,5,3,0,2023-04-01
P01,9228,7960,6869,2057,50,252,6105,1805,50,0,214,89,4,2023-05-01
P02,12259,11327,8466,3743,2,48,7893,3432,2,0,130,112,1,2023-05-01
P03,15103,14417,11743,3360,0,0,11202,3215,0,0,187,103,11,2023-05-01
P04,22925,21873,13753,8953,209,10,13199,8495,179,0,257,185,0,2023-05-01
P05,20302,19415,10341,9777,169,15,10017,9279,119,0,243,104,35,2023-05-01
P06,28927,27520,19606,9271,5,45,18894,8621,5,0,301,198,13,2023-05-01
P07,9737,9305,6931,2192,609,5,6653,2095,557,0,105,69,25,2023-05-01
P08,15550,14765,10016,5357,93,84,9639,5035,91,0,201,85,17,2023-05-01
P09,10724,10313,0,10724,0,0,0,10313,0,0,100,53,60,2023-05-01
P10,25637,24779,18218,7220,135,64,17745,6930,104,0,161,91,21,2023-05-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2023-05-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2023-05-01
P18,3622,3486,0,3622,0,0,0,3486,0,0,32,6,15,2023-05-01
P22,131,120,0,0,131,0,0,0,120,0,5,3,0,2023-05-01
P01,9202,7929,6870,2030,50,252,6101,1778,50,0,214,89,4,2023-06-01
P02,12262,11325,8467,3745,2,48,7891,3432,2,0,131,112,1,2023-06-01
P03,15098,14422,11738,3360,0,0,11208,3214,0,0,187,103,11,2023-06-01
P04,22939,21886,13767,8953,209,10,13212,8495,179,0,257,185,0,2023-06-01
P05,20260,19368,10299,9777,169,15,9974,9275,119,0,243,104,35,2023-06-01
P06,28936,27525,19615,9271,5,45,18897,8623,5,0,301,198,13,2023-06-01
P07,9740,9308,6938,2192,605,5,6660,2095,553,0,105,69,25,2023-06-01
P08,15770,14983,10239,5354,93,84,9860,5032,91,0,201,85,17,2023-06-01
P09,10739,10320,0,10739,0,0,0,10320,0,0,100,53,60,2023-06-01
P10,25634,24779,18215,7220,135,64,17745,6930,104,0,161,91,21,2023-06-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2023-06-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2023-06-01
P18,3592,3455,0,3592,0,0,0,3455,0,0,32,6,15,2023-06-01
P22,131,120,0,0,131,0,0,0,120,0,5,3,0,2023-06-01
P01,9224,7947,6891,2031,50,252,6122,1775,50,0,214,89,4,2023-07-01
P02,12261,11323,8468,3743,2,48,7892,3429,2,0,131,112,1,2023-07-01
P03,15098,14420,11738,3360,0,0,11205,3215,0,0,187,103,11,2023-07-01
P04,22904,21852,13751,8934,209,10,13195,8478,179,0,255,185,0,2023-07-01
P05,20260,19363,10299,9777,169,15,9971,9274,118,0,243,104,35,2023-07-01
P06,28932,27512,19610,9272,5,45,18888,8619,5,0,300,198,13,2023-07-01
P07,9731,9299,6938,2172,616,5,6660,2075,564,0,105,69,25,2023-07-01
P08,15770,14986,10239,5354,93,84,9860,5035,91,0,201,85,17,2023-07-01
P09,10764,10346,0,10764,0,0,0,10346,0,0,100,53,60,2023-07-01
P10,25580,24725,18161,7220,135,64,17691,6930,104,0,161,91,21,2023-07-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2023-07-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2023-07-01
P18,3592,3454,0,3592,0,0,0,3454,0,0,33,6,15,2023-07-01
P22,131,120,0,0,131,0,0,0,120,0,5,3,0,2023-07-01
P01,9215,7931,6891,2022,50,252,6121,1760,50,0,214,88,4,2023-08-01
P02,12262,11325,8464,3748,2,48,7889,3434,2,0,131,112,1,2023-08-01
P03,15098,14415,11738,3360,0,0,11200,3215,0,0,187,103,11,2023-08-01
P04,22904,21851,13751,8934,209,10,13195,8477,179,0,255,185,0,2023-08-01
P05,20255,19358,10294,9777,169,15,9966,9274,118,0,243,104,35,2023-08-01
P06,28909,27530,19603,9256,5,45,18889,8636,5,0,300,198,13,2023-08-01
P07,9721,9290,6928,2172,616,5,6649,2077,564,0,105,66,25,2023-08-01
P08,15764,14981,10240,5347,93,84,9862,5028,91,0,201,85,17,2023-08-01
P09,10787,10368,0,10787,0,0,0,10368,0,0,100,53,60,2023-08-01
P10,25580,24725,18151,7230,135,64,17681,6940,104,0,161,91,21,2023-08-01
P13,60,55,0,0,60,0,0,0,55,0,5,2,0,2023-08-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2023-08-01
P18,3592,3454,0,3592,0,0,0,3454,0,0,33,6,15,2023-08-01
P22,131,120,0,0,131,0,0,0,120,0,5,3,0,2023-08-01
P01,9203,7909,6891,2010,50,252,6118,1741,50,0,215,88,4,2023-09-01
P02,12260,11323,8463,3747,2,48,7887,3434,2,0,131,113,1,2023-09-01
P03,15091,14407,11731,3360,0,0,11193,3214,0,0,187,103,11,2023-09-01
P04,22913,21858,13760,8934,209,10,13204,8475,179,0,256,170,15,2023-09-01
P05,20247,19343,10280,9777,169,21,9952,9273,118,0,243,104,35,2023-09-01
P06,28692,27315,19470,9172,5,45,18752,8558,5,0,300,198,13,2023-09-01
P07,9686,9254,6916,2149,616,5,6634,2056,564,0,103,66,25,2023-09-01
P08,15762,14974,10240,5345,93,84,9858,5025,91,0,201,85,17,2023-09-01
P09,10881,10461,0,10881,0,0,0,10461,0,0,100,53,60,2023-09-01
P10,25576,24716,18148,7229,135,64,17677,6935,104,0,161,91,21,2023-09-01
P13,60,55,0,0,60,0,0,0,55,0,5,2,0,2023-09-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2023-09-01
P18,3591,3453,0,3591,0,0,0,3453,0,0,33,6,15,2023-09-01
P22,131,120,0,0,131,0,0,0,120,0,5,3,0,2023-09-01
P01,9120,7833,6819,1999,50,252,6054,1729,50,0,215,86,4,2023-10-01
P02,12244,11305,8460,3734,2,48,7879,3424,2,0,130,113,1,2023-10-01
P03,15091,14409,11731,3360,0,0,11195,3214,0,0,186,103,11,2023-10-01
P04,22908,21855,13755,8934,209,10,13200,8476,179,0,256,170,15,2023-10-01
P05,20253,19349,10285,9778,169,21,9957,9274,118,0,243,104,35,2023-10-01
P06,28664,27288,19441,9173,5,45,18723,8560,5,0,299,197,13,2023-10-01
P07,9706,9273,6950,2149,602,5,6668,2056,549,0,104,66,25,2023-10-01
P08,15791,15001,10269,5345,93,84,9883,5027,91,0,201,85,17,2023-10-01
P09,10885,10464,0,10885,0,0,0,10464,0,0,100,53,60,2023-10-01
P10,25574,24716,18147,7228,135,64,17678,6934,104,0,161,91,21,2023-10-01
P13,60,55,0,0,60,0,0,0,55,0,5,2,0,2023-10-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2023-10-01
P18,3590,3451,0,3590,0,0,0,3451,0,0,33,6,15,2023-10-01
P22,131,120,0,0,131,0,0,0,120,0,5,3,0,2023-10-01
P01,9160,7848,6837,2021,50,252,6061,1737,50,0,218,87,4,2023-11-01
P02,12244,11293,8460,3734,2,48,7869,3422,2,0,130,113,1,2023-11-01
P03,15088,14406,11728,3360,0,0,11192,3214,0,0,187,103,11,2023-11-01
P04,22908,21856,13755,8934,209,10,13201,8476,179,0,256,170,15,2023-11-01
P05,20289,19387,10282,9817,169,21,9955,9314,118,0,243,104,37,2023-11-01
P06,28771,27226,19548,9173,5,45,18660,8561,5,0,299,199,13,2023-11-01
P07,9707,9268,6952,2148,602,5,6667,2052,549,0,105,65,25,2023-11-01
P08,15792,15004,10268,5367,73,84,9882,5051,71,0,201,85,17,2023-11-01
P09,10922,10498,0,10922,0,0,0,10498,0,0,100,53,60,2023-11-01
P10,25574,24717,18147,7228,135,64,17679,6934,104,0,161,91,21,2023-11-01
P13,60,55,0,0,60,0,0,0,55,0,5,2,0,2023-11-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2023-11-01
P18,3924,3766,0,3924,0,0,0,3766,0,0,46,6,18,2023-11-01
P22,131,120,0,0,131,0,0,0,120,0,5,3,0,2023-11-01
P01,9160,7842,6837,2021,50,252,6056,1736,50,0,218,88,4,2023-12-01
P02,12222,11268,8456,3716,2,48,7861,3405,2,0,132,113,1,2023-12-01
P03,15088,14402,11729,3359,0,0,11191,3211,0,0,188,103,11,2023-12-01
P04,22925,21873,13761,8945,209,10,13207,8487,179,0,256,170,15,2023-12-01
P05,20280,19377,10273,9817,169,21,9945,9314,118,0,243,104,37,2023-12-01
P06,28763,27214,19542,9173,5,43,18651,8558,5,0,299,199,13,2023-12-01
P07,9707,9268,6952,2148,602,5,6667,2052,549,0,105,67,25,2023-12-01
P08,15792,15002,10268,5367,73,84,9882,5049,71,0,201,85,17,2023-12-01
P09,10920,10496,0,10920,0,0,0,10496,0,0,100,53,60,2023-12-01
P10,25573,24717,18146,7228,135,64,17680,6933,104,0,161,90,21,2023-12-01
P13,60,55,0,0,60,0,0,0,55,0,5,2,0,2023-12-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2023-12-01
P18,3924,3766,0,3924,0,0,0,3766,0,0,46,6,18,2023-12-01
P22,131,120,0,0,131,0,0,0,120,0,5,3,0,2023-12-01
P01,9160,7842,6837,2021,50,252,6056,1736,50,0,218,90,3,2024-01-01
P02,12222,11266,8456,3716,2,48,7859,3405,2,0,132,113,1,2024-01-01
P03,15078,14399,11719,3359,0,0,11188,3211,0,0,188,103,11,2024-01-01
P04,22916,21862,13756,8941,209,10,13201,8482,179,0,256,170,15,2024-01-01
P05,20279,19376,10273,9816,169,21,9945,9313,118,0,243,104,37,2024-01-01
P06,28752,27204,19531,9173,5,43,18641,8558,5,0,299,199,13,2024-01-01
P07,9707,9268,6952,2148,602,5,6667,2052,549,0,105,67,25,2024-01-01
P08,15790,14998,10266,5367,73,84,9878,5049,71,0,201,85,17,2024-01-01
P09,10888,10463,0,10888,0,0,0,10463,0,0,100,53,57,2024-01-01
P10,25575,24719,18148,7228,135,64,17682,6933,104,0,161,90,21,2024-01-01
P13,60,55,0,0,60,0,0,0,55,0,5,2,0,2024-01-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2024-01-01
P18,3924,3765,0,3924,0,0,0,3765,0,0,46,6,18,2024-01-01
P22,131,120,0,0,131,0,0,0,120,0,5,3,0,2024-01-01
